228959171,1467375497000,13630
228967003,1467383054000,3872
228969291,1467385252000,24200
229025431,1467480799000,14490
229057671,1467571222000,999
229058520,1467572989000,7750
229091135,1467640101000,2995
229105894,1467656022000,7700
229107285,1467657939000,3900
229111098,1467663669000,9390
229111437,1467664186000,5000
229114525,1467672092000,10750
229155161,1467732736000,17860
229158096,1467735664000,25330
229173837,1467754765000,9930
229178233,1467764241000,18900
229188479,1467789651000,650
229189558,1467790896000,9300
229218611,1467815284000,9996
229223587,1467820181000,13180
229229945,1467827801000,1750
229237741,1467836141000,31990
229246196,1467861224000,34490
229251590,1467877259000,39508
229266640,1467889917000,10980
229276303,1467900318000,30740
229303641,1467947049000,6000
229316288,1467968917000,2290
229325120,1467976298000,10999
229335638,1467986186000,10500
229354537,1468006486000,46790
229356445,1468010160000,7849
229387643,1468072295000,6490
229388589,1468074243000,2400
229402794,1468121137000,5600
229409956,1468146149000,4950
229448442,1468237356000,16195
229474272,1468263546000,4789
229478834,1468270317000,6990
229485334,1468291558000,19080
229515691,1468332077000,19244
229532778,1468348388000,5999
229559093,1468402739000,19490
229585764,1468426225000,11990
229588569,1468429465000,23990
229602816,1468456293000,8979
229605100,1468467078000,11800
229605231,1468467429000,5750
229608274,1468478806000,14990
229610566,1468482369000,6199
229617373,1468488445000,21500
229638189,1468506017000,8700
229643554,1468511481000,4200
229649028,1468517902000,14900
229651676,1468522248000,14990
229659711,1468537284000,11495
229662644,1468546792000,12777
229663329,1468550144000,2499
229684572,1468583036000,17880
229704539,1468602317000,23988
229708137,1468604056000,71000
229714540,1468614547000,52129
229728286,1468660169000,2500
229737481,1468670408000,24098
229739885,1468673873000,800
229744291,1468681278000,10990
229747053,1468687234000,3500
229774749,1468774314000,650
229776084,1468777042000,11000
229784985,1468816809000,41950
229785000,1468816811000,23750
229797014,1468837251000,2199
229797790,1468837854000,11500
229805837,1468845897000,1900
229808441,1468848338000,15900
229809825,1468849795000,17950
229814390,1468854428000,3590
229814473,1468854507000,20900
229833665,1468878730000,7854
229834356,1468881191000,22270
229841665,1468910277000,36771
229844298,1468914507000,21800
229846911,1468917645000,2490
229847146,1468917962000,9900
229853510,1468923320000,15125
229855588,1468924736000,390
229858946,1468928209000,78650
229860392,1468929586000,41745
229860670,1468929774000,36295
229862002,1468931063000,9300
229862095,1468931151000,22900
229862588,1468931571000,4990
229863100,1468931945000,43500
229865183,1468933829000,4235
229869728,1468938510000,17990
229897216,1468996805000,1900
229900864,1469002647000,1250
229910764,1469011700000,3700
229915392,1469017903000,121000
229949354,1469081051000,15900
229965819,1469099182000,13950
229974410,1469109156000,27458
229980042,1469114242000,12800
229981553,1469116169000,8500
229982031,1469116712000,53990
230010452,1469178808000,5950
230013717,1469181925000,332750
230014328,1469182605000,10900
230018943,1469188141000,5100
230019532,1469188893000,1500
230024112,1469194395000,31350
230030050,1469198884000,14999
230033410,1469201253000,11260
230040108,1469207556000,18900
230050817,1469219314000,32040
230052232,1469222483000,16300
230052271,1469222555000,69240
230059904,1469251864000,11640
230069970,1469268224000,2000
230072493,1469270259000,33789
230087067,1469295425000,16900
230087231,1469295906000,700
230087581,1469297070000,10500
230094435,1469328139000,15500
230108316,1469364556000,750
230115427,1469381218000,600
230123442,1469415420000,23920
230129264,1469435559000,1500
230134302,1469442803000,10990
230135078,1469443732000,13729
230138308,1469447038000,5990
230138983,1469447754000,36600
230142698,1469452202000,400
230144028,1469453632000,11220
230144030,1469453633000,5290
230144590,1469453874000,12690
230144659,1469453909000,7390
230144854,1469454002000,25040
230145824,1469454809000,11990
230145937,1469454904000,17990
230147621,1469456306000,19490
230148897,1469457067000,9690
230149306,1469457384000,21280
230152528,1469460992000,29990
230155592,1469464769000,8900
230156506,1469466253000,14990
230158375,1469469248000,999
230160518,1469471994000,8980
230162405,1469475148000,4790
230165239,1469480812000,1995
230165517,1469481479000,27990
230167564,1469486927000,8990
230169062,1469491930000,29900
230170795,1469498352000,18490
230171245,1469500470000,8900
230172932,1469510473000,5831
230173610,1469512483000,12499
230174662,1469515223000,20847
230175646,1469516983000,16495
230177332,1469519650000,5490
230178384,1469520942000,54621
230178922,1469521522000,18150
230179040,1469521601000,1450
230179173,1469521757000,799
230180270,1469522979000,18489
230180944,1469523682000,6990
230181796,1469524532000,17500
230182573,1469525400000,11990
230185073,1469527033000,12780
230185229,1469527203000,1390
230186332,1469528206000,890
230188804,1469530355000,39980
230192161,1469534524000,43250
230193287,1469535811000,8990
230194273,1469536775000,26890
230194559,1469537051000,5000
230195967,1469537985000,5550
230196230,1469538258000,9950
230196512,1469538470000,33450
230197682,1469539339000,21480
230197699,1469539352000,3990
230198543,1469540166000,150
230198940,1469540571000,2850
230201134,1469542547000,14890
230203527,1469544871000,11900
230205005,1469546221000,15470
230205332,1469546590000,18750
230205686,1469546962000,19800
230206968,1469548351000,3333
230207418,1469548731000,2998
230209397,1469551235000,1100
230210506,1469552894000,5990
230211798,1469554648000,4500
230213469,1469557541000,4200
230213719,1469557905000,10900
230214444,1469559074000,2400
230214681,1469559471000,4600
230216450,1469562630000,10600
230217686,1469564590000,34994
230218400,1469565948000,17489
